model,ARI,NMI,silhouette,davies_bouldin,calinski_harabasz
online_controlled_no_constraint,0.5463594129488428,0.6304613053050669,0.4500303801205296,0.7609840913977816,204.23552881773853
online_controlled_constrained_max50,0.5122530612244898,0.5540634620062641,0.2548011120365433,3.1185595624742137,117.12283877039378
semi_seeded_2perclass_max50,0.4964408163265306,0.5813240845898754,0.28188333700691504,2.074105231393761,140.69068924816688
semi_seeded_5perclass_max50,0.8175510204081633,0.8027311504737437,0.40667274035232803,0.951815153288963,212.34022915702346
semi_seeded_10perclass_max50,0.4964408163265306,0.5813240845898754,0.28188333700691504,2.074105231393761,140.69068924816688
